,,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
70,CA-2011-132010,13-Oct-13,,,389.74,,,,,,,,,
71,CA-2011-132612,9-Jun-13,,,,,,,1441.3,,,,,
72,CA-2011-133634,5-Nov-13,,,,,,,,,,,,47.79
73,CA-2011-134551,20-Dec-13,,,,,,,,,,732.312,,
74,CA-2011-134621,21-Dec-13,,,,,,,,,,,,18.24
75,CA-2011-136336,21-Apr-13,,,,,,,,,,,828.84,
76,CA-2011-136567,20-Dec-13,,,2884.37,,,,,,,,,
77,CA-2011-136861,5-Sep-13,31.984,,,,,,,,,,,
78,CA-2011-137911,9-Oct-13,,,,,,,,,,,88.768,
79,CA-2011-138296,5-Dec-13,,,,,,,,,,24.56,,
80,CA-2011-138527,12-Sep-13,,,,,,,,,,,192.424,
81,CA-2011-138709,4-Jul-13,,,,,,,,,,37.44,,
82,CA-2011-140165,13-May-13,,,405.456,,,,,,,,,
83,CA-2011-140886,30-Sep-13,,,,,,,,,,69.216,,
84,CA-2011-142727,29-Apr-13,,,,,,,69.9,,,,,
85,CA-2011-142951,8-Oct-13,,,,23.472,,,,,,,,
86,CA-2011-143182,15-Oct-13,,,,,,,,,,15.384,,
87,CA-2011-143840,22-May-13,,,,,,,,,,180.93,,
88,CA-2011-145317,18-Mar-13,,,,,,,,,,,,23661.228
89,CA-2011-145576,14-Sep-13,,,,,,,26.128,,,,,
90,CA-2011-146731,3-Nov-13,,,,,,,,,,147.344,,
91,CA-2011-146885,30-May-13,,,,,,,,,,,13.62,
92,CA-2011-148285,27-Oct-13,,,,,,,,,,,,22.32
93,CA-2011-148425,30-Nov-13,,,,,,,,,,,6.642,
94,CA-2011-149020,10-Jan-13,,,,,,,,,,,54.83,
95,CA-2011-149538,4-Apr-13,,,,,,,,,,,364.93,
96,CA-2011-149958,15-Mar-13,,,,,,,,,,370.782,,
97,CA-2011-151953,20-Sep-13,,,,,,,,,,,2.816,
98,CA-2011-151967,22-Oct-13,,,,,,,,,,,129.92,
99,CA-2011-152254,30-Jun-13,,,,310.688,,,,,,,,
100,CA-2011-152268,2-Sep-13,,,,,,,,,,1793.98,,
101,CA-2011-152562,1-Nov-13,,,,,,,,,,,75.16,
102,CA-2011-152849,5-Jul-13,,,,,,,,,,,4.368,
103,CA-2011-153087,27-Dec-13,,,,,,,,,,,521.92,
104,CA-2011-153913,16-Dec-13,,,,,,,,1015.816,,,,
105,CA-2011-153927,12-Aug-13,286.65,,,,,,,,,,,
106,CA-2011-154158,23-Dec-13,,,,,,,619.848,,,,,
107,CA-2011-155208,16-Apr-13,,,,,,,,,,,39.072,
108,CA-2011-155390,6-Dec-13,,,,,,,,,,42.208,,
109,CA-2011-155852,3-Mar-13,,,,,,,19.456,,,,,
110,CA-2011-156006,30-Apr-13,,,,,,,47.79,,,,,
111,CA-2011-156244,12-Aug-13,,,,,,,,,,,,457.744
112,CA-2011-156790,8-Aug-13,,,,,,,155.456,,,,,
113,CA-2011-157609,16-Mar-13,,,,,,,,,471.92,,,
114,CA-2011-157784,5-Jul-13,514.03,,,,,,,,,,,
115,CA-2011-158274,19-Nov-13,,,,,,,,,682.91,,,
116,CA-2011-158470,19-Apr-13,,,,,,,129.33,,,,,
117,CA-2011-158771,9-May-13,,,,,158.71,,,,,,,
118,CA-2011-159184,14-Sep-13,,,,,,,,,,149.56,,
119,CA-2011-159681,7-Dec-13,,,,,,,,,,105.52,,
120,CA-2011-160094,30-Apr-13,1000.95,,,,,,,,,,,
121,CA-2011-160276,2-Apr-13,,,,,,,,,,,177.68,
122,CA-2011-160773,1-Jul-13,,,,,,,,,,,581.104,
123,CA-2011-161634,14-Nov-13,,,,,,,,,,32.4,,
124,CA-2011-162775,13-Jan-13,,,,,,,,1287.26,,,,
125,CA-2011-163013,28-Nov-13,,,,,,,,,,14.67,,
126,CA-2011-163223,21-Mar-13,,,,,,,,,,,3769.56,
127,CA-2011-163293,8-Sep-13,,116.85,,,,,,,,,,
128,CA-2011-164315,2-Apr-13,,,,,,,,,,1220.67,,
129,CA-2011-164749,23-Mar-13,9.912,,,,,,,,,,,
130,CA-2011-164910,12-Nov-13,,,,,,,,7.872,,,,
131,CA-2011-165764,3-Nov-13,,,,,,,,,,1395.673,,
132,CA-2011-165806,7-Apr-13,,,,,,259.29,,,,,,
133,CA-2011-166051,31-May-13,,,,,,,,,,773.7,,
134,CA-2011-166457,5-May-13,,,,,,,40.54,,,,,
135,CA-2011-166730,30-Dec-13,39.128,,,,,,,,,,,
136,CA-2011-167199,6-Jan-13,,,,,,,,,,,,4374.88
137,CA-2011-167850,9-Aug-13,,,,,,,,,,,193.936,
138,CA-2011-169257,6-Jun-13,,,,,,,,,,63.381,,
139,CA-2011-169684,20-Oct-13,,426.942,,,,,,,,,,
140,CA-2011-169775,29-Aug-13,,,,,,,709.0425,,,,,
141,CA-2012-100769,16-May-14,,,,,,255.968,,,,,,
142,CA-2012-100888,6-Apr-14,,,,,,,,,,47.952,,
143,CA-2012-101868,9-Jun-14,,,,,,,,,,175.32,,
144,CA-2012-102260,22-Sep-14,,,,,,,,,,,,763.508
145,CA-2012-102491,24-Aug-14,,,,,,,,,,3747.93,,
146,CA-2012-102582,15-Sep-14,,,,,,,,,,1918.79,,
147,CA-2012-102722,18-Apr-14,106.5,,,,,,,,,,,
148,CA-2012-102778,21-Nov-14,18.176,,,,,,,,,,,
149,CA-2012-103093,3-Feb-14,,,,,,,,,,74.52,,
150,CA-2012-103135,24-Jul-14,,,,,,,,,,,,525.95
151,CA-2012-103772,28-Jun-14,,,,,,,,,,,,260.31
152,CA-2012-103793,26-Mar-14,,,,,,,,,,,74.352,
153,CA-2012-103870,27-Dec-14,,,,,,,,,,,284.44,
154,CA-2012-104038,6-Feb-14,,176.63,,,,,,,,,,
155,CA-2012-104115,12-Jun-14,,,,,,,,,,55.984,,
156,CA-2012-104241,4-Jan-14,,,,,,,,,,,192.22,
157,CA-2012-104941,13-Jun-14,,,,,,,,,,,976.29,
158,CA-2012-105571,7-Nov-14,,,,,,,,,,,1361.631,
159,CA-2012-106187,23-Jun-14,,,,,,,,,,,268.4,
160,CA-2012-107678,21-Apr-14,,,,,,,,,,893.09,,
161,CA-2012-108119,1-Nov-14,,,,,,,,,,301.96,,
162,CA-2012-108259,8-Nov-14,,,,,,,,,,,81.135,
163,CA-2012-109386,8-Nov-14,,,,,,,750.93,,,,,
164,CA-2012-109470,31-Dec-14,,,,,,,,596.48,,,,
165,CA-2012-109708,25-May-14,,,,,,,,467.04,,,,
166,CA-2012-110247,4-Dec-14,,,,,,,,,,8.226,,
167,CA-2012-110345,9-Mar-14,,,,,,,4.608,,,,,
168,CA-2012-110947,9-Jun-14,,,,,,,,,,,,113.1
169,CA-2012-111199,13-Nov-14,,,,,,,,,,115.296,,
170,CA-2012-111703,2-Jul-14,,,,,,,,,,27.504,,
171,CA-2012-112375,21-Dec-14,,,,,,,,,,78.192,,
172,CA-2012-113628,12-Nov-14,,,,,,,,,,,792.508,
173,CA-2012-114300,13-Oct-14,,,,,,,,,,371.66,,
174,CA-2012-114503,13-Nov-14,,,,,,,,,,84.96,,
175,CA-2012-115091,5-Oct-14,,,,,,,,,,,,75.04
176,CA-2012-115847,19-Sep-14,,,,,,,,,61.96,,,
177,CA-2012-115938,26-Jun-14,,,,,,,,,,535.36,,
178,CA-2012-116638,28-Jan-14,,,,,,,4297.644,,,,,
179,CA-2012-116750,5-Jul-14,,,,,,,,12.158,,,,
180,CA-2012-117828,23-Dec-14,194.32,,,,,,,,,,,
181,CA-2012-117884,22-Mar-14,,,,598.352,,,,,,,,
182,CA-2012-118444,5-Nov-14,,,,,,,,,,387.136,,
183,CA-2012-118843,13-Sep-14,,,,,,,,,,199.86,,
184,CA-2012-119480,9-Jan-14,,,,,,,,,,364.07,,
185,CA-2012-119592,14-Dec-14,,,,,,,,3.76,,,,
186,CA-2012-119634,11-Aug-14,,,,,,,,,,46.152,,
187,CA-2012-120516,13-Aug-14,,,,,,,,,,5.64,,
188,CA-2012-120621,21-Mar-14,,,,,,,,,,1270.379,,
189,CA-2012-120845,25-Sep-14,,,,,,,,,,,22.549,
190,CA-2012-121552,22-Mar-14,,,,,,,,,,,19.56,
191,CA-2012-121720,11-Jun-14,,3165.744,,,,,,,,,,
192,CA-2012-122168,21-Aug-14,,,,,,,,,,,53.28,
193,CA-2012-122266,26-Apr-14,,,,,,,,,,194.1395,,
194,CA-2012-123092,3-Dec-14,,,,,,,,,,288.85,,
195,CA-2012-123330,21-Jun-14,,,,,,,,,,107.976,,
196,CA-2012-125066,14-Dec-14,,,,,,,,,,,62.46,
197,CA-2012-125563,11-Apr-14,,,,,,,,,,121.888,,
198,CA-2012-125696,2-Oct-14,,,,,,,,,,,,7.38
199,CA-2012-125976,27-Sep-14,,,,,,,,,,2026.78,,
200,CA-2012-128027,14-Sep-14,,,,,,,269.49,,,,,
201,CA-2012-128083,12-Mar-14,,,,,,,,,,,45.976,
202,CA-2012-128139,3-Jul-14,,,,,,,,,,365.91,,
203,CA-2012-128958,24-Jan-14,,,,,,,,,,,,13.12
204,CA-2012-129098,9-Oct-14,,,,,,,,,,30.84,,
205,CA-2012-130218,23-Mar-14,59.48,,,,,,,,,,,
206,CA-2012-131422,5-Nov-14,,,,,,,,,,,207,
207,CA-2012-132318,30-Oct-14,182.91,,,,,,,,,,,
208,CA-2012-133242,18-Jun-14,,,,,,,,,,1046.47,,
209,CA-2012-133396,13-Aug-14,,64.68,,,,,,,,,,
210,CA-2012-133977,6-Sep-14,,,,,,,,,3.444,,,
211,CA-2012-134257,16-Mar-14,,,,,,,498.93,,,,,
212,CA-2012-134719,10-Oct-14,,,,,,,,,,1801.632,,
213,CA-2012-134782,27-Dec-14,,,,,,,,,,105.42,,
214,CA-2012-134894,7-Dec-14,,,,,,,,,,436.86,,
215,CA-2012-134992,22-Sep-14,,,,,,,,,80.38,,,
216,CA-2012-135510,5-Sep-14,,,,,,,,,,,,67.96
217,CA-2012-136147,13-Nov-14,,,,,,,,,,233.064,,
218,CA-2012-136224,31-May-14,,,,10.272,,,,,,,,
219,CA-2012-137106,31-Mar-14,,,,,,,,,,,79.96,
220,CA-2012-137281,13-Jun-14,,,,,,,,,,,6.48,
221,CA-2012-137974,16-Apr-14,2298.9,,,,,,,,,,,
222,CA-2012-138457,13-Sep-14,,,,,,,,,,13.092,,
223,CA-2012-138625,2-Nov-14,197.72,,,,,,,,,,,
224,CA-2012-140718,2-Jul-14,,246.364,,,,,,,,,,
225,CA-2012-140830,30-Nov-14,,,,,,,,,89.36,,,
226,CA-2012-141145,17-Sep-14,,,,,,,,,,87.168,,
227,CA-2012-141327,30-Nov-14,440.144,,,,,,,,,,,
228,CA-2012-141565,20-Sep-14,,,,,,,,,,1664.132,,
229,CA-2012-141754,20-Dec-14,,,,,,,,,,,,11.696
230,CA-2012-142202,18-Sep-14,,,,,,,,717.12,,,,
231,CA-2012-142755,4-Sep-14,,,,,,,,,,919.49,,
232,CA-2012-143119,24-Sep-14,,,,,,,,,,517.5,,
233,CA-2012-143532,19-Mar-14,,,,,,,,,,14.496,,
234,CA-2012-144288,25-Dec-14,,,,,,,,,,19.584,,
235,CA-2012-145324,15-Nov-14,,,,,,,,,,,,39.96
236,CA-2012-145352,16-Mar-14,,,,,,,,,,6412.77,,
237,CA-2012-147011,18-Jun-14,,,,,,,,,,,13.632,
238,CA-2012-147102,19-Sep-14,,,,,,,,,,,66.36,
239,CA-2012-147529,7-Feb-14,,,,,,,,,,,324.11,
240,CA-2012-147879,7-May-14,,,,,,,,,,45.68,,
241,CA-2012-148705,12-Mar-14,,,,,,,,,,5.04,,
242,CA-2012-149300,22-Nov-14,32.985,,,,,,,,,,,
243,CA-2012-149342,20-Apr-14,,,,,,,,,,,896.31,
244,CA-2012-149734,3-Sep-14,,,,,,,,,,,200.984,
245,CA-2012-150308,15-Dec-14,,,,,,,,,,,246.168,
246,CA-2012-150560,11-Dec-14,196.62,,,,,,,,,,,
247,CA-2012-150749,29-Mar-14,,,,,,,5.56,,,,,
248,CA-2012-151547,17-Jan-14,,,,,,,,,,88.96,,
249,CA-2012-151624,8-Sep-14,,,,,,,,,,,21.36,
250,CA-2012-153038,18-Dec-14,,,,,,,,,,,94.688,
251,CA-2012-153325,1-Mar-14,,,,,,,58.72,,,,,
252,CA-2012-153535,20-May-14,,,,,,,,,,169.544,,
253,CA-2012-153549,29-Mar-14,,,,,,,,,1166.92,,,
254,CA-2012-153626,9-Jul-14,,,,,,,,,,5.16,,
255,CA-2012-153752,6-Dec-14,,,,,,,173.94,,,,,
256,CA-2012-154291,25-Jul-14,,,,,,,,,,,457.04,
257,CA-2012-154746,14-Nov-14,,860.07,,,,,,,,,,
258,CA-2012-154921,23-May-14,,,,,,,,,,,186.69,
259,CA-2012-155068,23-Oct-14,,,,78.456,,,,,,,,
260,CA-2012-155453,9-Aug-14,,,,,,,,,,,4.608,
261,CA-2012-155600,4-Dec-14,,,,,,,1635.018,,,,,
262,CA-2012-155635,9-May-14,,,,,,,,,,48.81,,
263,CA-2012-156328,30-Nov-14,,,,,,,,,,177.48,,
264,CA-2012-156734,18-Jun-14,,670.001,,,,,,,,,,
265,CA-2012-158148,20-Dec-14,,,,,,,,,,36.27,,
266,CA-2012-158323,30-Nov-14,,17.088,,,,,,,,,,
267,CA-2012-158421,21-Sep-14,,,,,,,,,,3631.96,,
268,CA-2012-160059,27-Nov-14,,,,,,,,,,,,6.24
269,CA-2012-160696,6-Sep-14,,,,,,,,,,,7.24,
270,CA-2012-161445,7-Sep-14,,,,,,,,140.736,,,,
271,CA-2012-161998,1-May-14,,,,,,,,,,,277.632,
272,CA-2012-162201,8-Jun-14,,,,,,,,,,,937.608,
273,CA-2012-162537,28-Oct-14,,,,,,,,,,104.51,,
274,CA-2012-162761,9-Oct-14,,,,,,,,,,50.462,,
275,CA-2012-163237,7-Aug-14,,,,,,,,520.03,,,,
276,CA-2012-163923,30-May-14,,,,,,,,,,,,151.96
277,CA-2012-163965,20-Nov-14,,,,,,,,,,377.902,,
278,CA-2012-164427,31-Jul-14,,,,,,,,,,,239.7,
279,CA-2012-165414,21-Dec-14,47.976,,,,,,,,,,,
280,CA-2012-165624,23-Aug-14,,,,,,,,,,1142.43,,
281,CA-2012-166604,15-May-14,,,,,,,,17.94,,,,
282,CA-2012-166975,26-Nov-14,,,,,,,,,,,692.472,
283,CA-2012-167696,16-Sep-14,,,,,,,,,,31.12,,
284,CA-2012-168004,4-Oct-14,,,,,,,,392.94,,,,
285,CA-2012-168459,22-Nov-14,,,,,,,,,,58.05,,
286,CA-2012-169572,6-Sep-14,,,,,,,,,,,46.62,
287,CA-2012-169677,13-Jan-14,,,,,,,,9.82,,,,
288,CA-2012-169733,22-Oct-14,,,,,,,9.952,,,,,
289,CA-2012-169740,20-Feb-14,,,,,,,,,,29.99,,
290,CA-2013-100307,16-Dec-15,,,,,,,,,,,,19.44
291,CA-2013-101378,15-Jul-15,,,,29,,,,,,,,
292,CA-2013-101469,3-Jul-15,,,,,,,,,,7.7,,
293,CA-2013-101525,2-May-15,,,,,,,140.52,,,,,
294,CA-2013-102092,10-Dec-15,1056.86,,,,,,,,,,,
295,CA-2013-102162,12-Sep-15,,,,,,,,,,1611.01,,
296,CA-2013-102498,25-Jul-15,73.2,,,,,,,,,,,
297,CA-2013-104157,26-Jul-15,,,,,,,,,,2503.47,,
298,CA-2013-104276,28-Nov-15,,,,,,,,,,447.783,,
299,CA-2013-105256,21-May-15,,,,1363.96,,,,,,,,
300,CA-2013-105662,6-May-15,,,,,,,,,,,,270.728
301,CA-2013-105753,21-Oct-15,,,,,,,,,,,,61.1
302,CA-2013-106558,17-Jan-15,,,,,,,,,,,316,
303,CA-2013-106894,7-Feb-15,,,,107.83,,,,,,,,
304,CA-2013-106950,3-Sep-15,,,,,,,,,,1854.241,,
305,CA-2013-108105,16-Feb-15,,,,,,,,,,323.88,,
306,CA-2013-108567,21-May-15,,,,,,,,,,2.694,,
307,CA-2013-108616,30-Sep-15,,,,,,,,,,298.83,,
308,CA-2013-109344,8-Feb-15,,,,,,,,,1127.976,,,
309,CA-2013-109407,24-Jan-15,,,,,,,,31.36,,,,
310,CA-2013-109722,6-Dec-15,,,,,,,1284.8,,,,,
311,CA-2013-109743,23-Sep-15,,,,,,,,,,,104.712,
312,CA-2013-109911,13-May-15,,,,,,,,,,,10.96,
313,CA-2013-110254,5-Aug-15,,,,,,,,,,,,158.81
314,CA-2013-110492,12-Feb-15,1366.04,,,,,,,,,,,
315,CA-2013-111409,19-Sep-15,,,,,,,,,,3,,
316,CA-2013-111605,28-Dec-15,,,,,,,,,,2.61,,
317,CA-2013-112102,13-Apr-15,,,,,,,,,,448.81,,
318,CA-2013-112277,11-Sep-15,,,,,,,,,,,519.68,
319,CA-2013-112676,6-May-15,,14.352,,,,,,,,,,
320,CA-2013-112697,19-Dec-15,,,,,,,,1410.066,,,,
321,CA-2013-113236,27-May-15,,,,,,,,232.624,,,,
322,CA-2013-113292,19-Mar-15,,,,,,,871.8,,,,,
323,CA-2013-113733,9-Dec-15,,,,,,,,,,334.256,,
324,CA-2013-113747,29-May-15,,,,,,,,,,185.88,,
325,CA-2013-113831,31-May-15,,,,,,,,,,,4317.3,
326,CA-2013-113845,21-Nov-15,,,,,,,,,,,574.056,
327,CA-2013-114713,8-Jul-15,,,,,,,,,,,45.584,
328,CA-2013-115504,13-Mar-15,,,,,,,,,,,12.96,
329,CA-2013-116232,23-Sep-15,,,,,,,,,,24.066,,
330,CA-2013-116764,28-Aug-15,,,,,,,,,,,9.216,
331,CA-2013-116918,2-Oct-15,,,,,,,36.364,,,,,
332,CA-2013-117604,5-Sep-15,,,,,,,,,,239.5,,
333,CA-2013-118073,13-Aug-15,,,,,,,,,,,562.2925,
334,CA-2013-118178,20-Mar-15,,,,,,,,,,,31.086,
335,CA-2013-118514,3-Feb-15,,,,,,,,,,866.4,,
336,CA-2013-118626,16-Aug-15,,,,,,,,,,705.544,,
337,CA-2013-118934,10-Aug-15,,,,,,,,,,,,16.218
338,CA-2013-119074,28-Mar-15,,,,,,,,,,,92.7,
339,CA-2013-119515,15-Aug-15,15.552,,,,,,,,,,,
340,CA-2013-119823,5-Jun-15,75.88,,,,,,,,,,,
341,CA-2013-120873,28-Oct-15,,,,,,,290.98,,,,,
342,CA-2013-121020,25-Oct-15,,,,,,,,,,,,239.976
343,CA-2013-121958,14-Nov-15,,,,,,,,,,52.136,,
344,CA-2013-122518,5-Mar-15,,,,,,,,10.08,,,,
345,CA-2013-123176,28-Sep-15,,,,,,,31.83,,,,,
346,CA-2013-123414,22-Aug-15,,,,,,,,,,,,37.264
347,CA-2013-123533,25-Nov-15,,,,,,,,,,,,392.832
348,CA-2013-123617,29-Nov-15,,,,,,,,,,,7.434,
349,CA-2013-123946,13-Sep-15,,,,,,,,,,,1159.06,
350,CA-2013-124254,13-Apr-15,,,,,,,,,,,191.808,
351,CA-2013-124772,6-Dec-15,191.82,,,,,,,,,,,
352,CA-2013-125017,6-Feb-15,,,,,,,,,,,132.224,
353,CA-2013-125843,14-Aug-15,125.92,,,,,,,,,,,
354,CA-2013-127208,13-Jun-15,,224.9,,,,,,,,,,
355,CA-2013-127698,2-Dec-15,,,,863.928,,,,,,,,
356,CA-2013-127985,2-Apr-15,,,,,,,,,7.04,,,
357,CA-2013-130001,24-Apr-15,,,,,,,,,,,36.24,
358,CA-2013-130442,17-Dec-15,34.944,,,,,,,,,,,
359,CA-2013-130820,16-Nov-15,,,,,630.024,,,,,,,
360,CA-2013-131065,15-Nov-15,,,,,,,513.52,,,,,
361,CA-2013-131205,5-Sep-15,,,,,,,,,,291.74,,
362,CA-2013-131968,12-Nov-15,,,,,,,,,,,,681.432
363,CA-2013-132549,26-Nov-15,,,,,,,,,,73.36,,
364,CA-2013-133123,7-Sep-15,,,,,,,,,,99.156,,
365,CA-2013-133368,14-Jan-15,,,,,,,,,,405.344,,
366,CA-2013-133711,27-Nov-15,,3236.41,,,,,,,,,,
367,CA-2013-133872,15-Jun-15,58.4,,,,,,,,,,,
368,CA-2013-134208,18-Sep-15,,,,,,,,,,396,,
369,CA-2013-134474,5-Jan-15,,,,,,,,255.904,,,,
370,CA-2013-134516,21-Sep-15,,,,,,,,,,,115.48,
371,CA-2013-134789,9-Apr-15,,,,,,,,,,,,215.84
372,CA-2013-135636,9-Oct-15,,,,,,,,,,387.72,,
373,CA-2013-136126,25-May-15,,,,,,261.1,,,,,,
374,CA-2013-136231,6-Sep-15,,,,,,,228.586,,,,,
375,CA-2013-136322,22-Oct-15,,,,,,,,,,,,74.32
376,CA-2013-136483,2-Dec-15,,,,,,,,,,4.704,,
377,CA-2013-137043,24-Dec-15,,,,,,,859.14,,,,,
378,CA-2013-137736,11-Nov-15,,,,,,,,,,41.86,,
379,CA-2013-138695,29-May-15,,,,,,,,,,,452.464,
380,CA-2013-139269,26-May-15,,,,,,,,,,,,1311.97
381,CA-2013-139381,19-Apr-15,,,,,,,,,,233.48,,
382,CA-2013-139689,30-Dec-15,,,,,,,,,,,40.896,
383,CA-2013-140543,30-Jun-15,,,,,,,191.88,,,,,
384,CA-2013-140571,16-Mar-15,,,,,,,,,,,,365.44
385,CA-2013-140641,29-Oct-15,,,,,,,,,,38.19,,
386,CA-2013-140928,19-Sep-15,,,,,,,,,,,383.438,
387,CA-2013-140977,17-Jun-15,,,,,,,,,91.475,,,
388,CA-2013-141180,16-May-15,,,,,,,7.764,,,,,
389,CA-2013-142097,16-Oct-15,,,,,,,,,,,342.76,
390,CA-2013-142370,20-Sep-15,,,,,,,,,,254.99,,
391,CA-2013-142895,22-Jul-15,,,,,,,,,,370.184,,
392,CA-2013-143308,5-Nov-15,,,,10.74,,,,,,,,
393,CA-2013-143805,2-Dec-15,,,,,,,,2145.25,,,,
394,CA-2013-144344,29-Oct-15,,,,314.393,,,,,,,,
395,CA-2013-145247,6-May-15,79.14,,,,,,,,,,,
396,CA-2013-145499,31-May-15,3.282,,,,,,,,,,,
397,CA-2013-145709,5-Oct-15,,,,,,,,,,,64.248,
398,CA-2013-145905,19-Sep-15,,,,,,,,,,1264.14,,
399,CA-2013-146143,15-Dec-15,,,,,,,,,,133.38,,
400,CA-2013-146150,14-Feb-15,,,,,,,,,,264.18,,
401,CA-2013-146171,12-Mar-15,,,,,,,,,,,,558.24
402,CA-2013-147368,10-Jun-15,695.7,,,,,,,,,,,
403,CA-2013-148684,26-Dec-15,,,,,,,,,,870.04,,
404,CA-2013-149111,18-Apr-15,,,,,,,,,55.416,,,
405,CA-2013-149454,26-Jul-15,,,10.44,,,,,,,,,
406,CA-2013-149783,5-Sep-15,,,,,,,131.104,,,,,
407,CA-2013-149979,24-Sep-15,,,,,,,487.22,,,,,
