Order ID,Segment>>,Ship Mode>>,Value
CA-2012-142755,Consumer,Standard Class,919.49
CA-2012-143119,Consumer,Standard Class,517.5
CA-2012-143532,Consumer,Standard Class,14.496
CA-2012-144288,Consumer,Standard Class,19.584
CA-2012-145352,Consumer,Standard Class,6412.77
CA-2012-147879,Consumer,Standard Class,45.68
CA-2012-148705,Consumer,Standard Class,5.04
CA-2012-151547,Consumer,Standard Class,88.96
CA-2012-153535,Consumer,Standard Class,169.544
CA-2012-153626,Consumer,Standard Class,5.16
CA-2012-155635,Consumer,Standard Class,48.81
CA-2012-156328,Consumer,Standard Class,177.48
CA-2012-158148,Consumer,Standard Class,36.27
CA-2012-158421,Consumer,Standard Class,3631.96
CA-2012-162537,Consumer,Standard Class,104.51
CA-2012-162761,Consumer,Standard Class,50.462
CA-2012-163965,Consumer,Standard Class,377.902
CA-2012-165624,Consumer,Standard Class,1142.43
CA-2012-167696,Consumer,Standard Class,31.12
CA-2012-168459,Consumer,Standard Class,58.05
CA-2012-169740,Consumer,Standard Class,29.99
CA-2013-101469,Consumer,Standard Class,7.7
CA-2013-102162,Consumer,Standard Class,1611.01
CA-2013-104157,Consumer,Standard Class,2503.47
CA-2013-104276,Consumer,Standard Class,447.783
CA-2013-106950,Consumer,Standard Class,1854.241
CA-2013-108105,Consumer,Standard Class,323.88
CA-2013-108567,Consumer,Standard Class,2.694
CA-2013-108616,Consumer,Standard Class,298.83
CA-2013-111409,Consumer,Standard Class,3.0
CA-2013-111605,Consumer,Standard Class,2.61
CA-2013-112102,Consumer,Standard Class,448.81
CA-2013-113733,Consumer,Standard Class,334.256
CA-2013-113747,Consumer,Standard Class,185.88
CA-2013-116232,Consumer,Standard Class,24.066
CA-2013-117604,Consumer,Standard Class,239.5
CA-2013-118514,Consumer,Standard Class,866.4
CA-2013-118626,Consumer,Standard Class,705.544
CA-2013-121958,Consumer,Standard Class,52.136
CA-2013-131205,Consumer,Standard Class,291.74
CA-2013-132549,Consumer,Standard Class,73.36
CA-2013-133123,Consumer,Standard Class,99.156
CA-2013-133368,Consumer,Standard Class,405.344
CA-2013-134208,Consumer,Standard Class,396.0
CA-2013-135636,Consumer,Standard Class,387.72
CA-2013-136483,Consumer,Standard Class,4.704
CA-2013-137736,Consumer,Standard Class,41.86
CA-2013-139381,Consumer,Standard Class,233.48
CA-2013-140641,Consumer,Standard Class,38.19
CA-2013-142370,Consumer,Standard Class,254.99
CA-2013-142895,Consumer,Standard Class,370.184
CA-2013-145905,Consumer,Standard Class,1264.14
CA-2013-146143,Consumer,Standard Class,133.38
CA-2013-146150,Consumer,Standard Class,264.18
CA-2013-148684,Consumer,Standard Class,870.04
CA-2013-150000,Consumer,Standard Class,17.92
CA-2013-154060,Consumer,Standard Class,187.056
CA-2013-155138,Consumer,Standard Class,99.872
CA-2013-156503,Consumer,Standard Class,305.248
CA-2013-156573,Consumer,Standard Class,60.485
CA-2013-157245,Consumer,Standard Class,641.96
CA-2013-157588,Consumer,Standard Class,88.15
CA-2013-159989,Consumer,Standard Class,40.68
CA-2013-160234,Consumer,Standard Class,135.95
CA-2013-160486,Consumer,Standard Class,72.224
CA-2013-163174,Consumer,Standard Class,186.54
CA-2013-163776,Consumer,Standard Class,1110.5
CA-2013-164574,Consumer,Standard Class,732.156
CA-2013-166282,Consumer,Standard Class,158.256
CA-2013-166485,Consumer,Standard Class,16.496
CA-2013-168536,Consumer,Standard Class,66.3
CA-2013-169103,Consumer,Standard Class,1466.32
CA-2014-100426,Consumer,Standard Class,12.48
CA-2014-100622,Consumer,Standard Class,1030.742
CA-2014-100902,Consumer,Standard Class,699.4
CA-2014-101042,Consumer,Standard Class,843.84
CA-2014-102204,Consumer,Standard Class,3740.51
CA-2014-102610,Consumer,Standard Class,248.396
CA-2014-102736,Consumer,Standard Class,177.08
CA-2014-103499,Consumer,Standard Class,209.568
CA-2014-104731,Consumer,Standard Class,951.98
CA-2014-106537,Consumer,Standard Class,20.736
CA-2014-108035,Consumer,Standard Class,491.888
CA-2014-108112,Consumer,Standard Class,559.2
CA-2014-109183,Consumer,Standard Class,649.0
CA-2014-110926,Consumer,Standard Class,25.06
CA-2014-114412,Consumer,Standard Class,15.552
CA-2014-114636,Consumer,Standard Class,192.16
CA-2014-116855,Consumer,Standard Class,504.9
CA-2014-116939,Consumer,Standard Class,177.55
CA-2014-117079,Consumer,Standard Class,863.88
CA-2014-117198,Consumer,Standard Class,659.9
CA-2014-118402,Consumer,Standard Class,243.92
CA-2014-119004,Consumer,Standard Class,105.408
CA-2014-119305,Consumer,Standard Class,173.8
CA-2014-119669,Consumer,Standard Class,5.67
CA-2014-120894,Consumer,Standard Class,28.08
CA-2014-121804,Consumer,Standard Class,72.8
CA-2014-122056,Consumer,Standard Class,181.86
CA-2014-123351,Consumer,Standard Class,80.48
CA-2014-124296,Consumer,Standard Class,712.85
CA-2014-124765,Consumer,Standard Class,723.92
CA-2014-126354,Consumer,Standard Class,119.178
CA-2014-126914,Consumer,Standard Class,776.08
CA-2014-127306,Consumer,Standard Class,175.086
CA-2014-128363,Consumer,Standard Class,2382.926
CA-2014-128755,Consumer,Standard Class,629.86
CA-2014-130309,Consumer,Standard Class,544.38
CA-2014-130904,Consumer,Standard Class,22.744
CA-2014-132185,Consumer,Standard Class,52.344
CA-2014-133501,Consumer,Standard Class,5.184
CA-2014-133641,Consumer,Standard Class,48.69
CA-2014-133928,Consumer,Standard Class,4.572
CA-2014-135587,Consumer,Standard Class,372.64
CA-2014-137631,Consumer,Standard Class,751.984
CA-2014-138975,Consumer,Standard Class,2361.52
CA-2014-139493,Consumer,Standard Class,15.92
CA-2014-139948,Consumer,Standard Class,7.904
CA-2014-140627,Consumer,Standard Class,303.32
CA-2014-140872,Consumer,Standard Class,1111.698
CA-2014-142090,Consumer,Standard Class,2165.658
CA-2014-143861,Consumer,Standard Class,17.088
CA-2014-144365,Consumer,Standard Class,11.68
CA-2014-145275,Consumer,Standard Class,14.94
CA-2014-145737,Consumer,Standard Class,163.96
CA-2014-146136,Consumer,Standard Class,24.448
CA-2014-146192,Consumer,Standard Class,675.06
CA-2014-146983,Consumer,Standard Class,1577.94
CA-2014-147228,Consumer,Standard Class,458.984
CA-2014-148999,Consumer,Standard Class,419.136
CA-2014-149853,Consumer,Standard Class,33.472
CA-2014-150910,Consumer,Standard Class,1090.348
CA-2014-152786,Consumer,Standard Class,40.41
CA-2014-152968,Consumer,Standard Class,23.08
CA-2014-154088,Consumer,Standard Class,26.72
CA-2014-158386,Consumer,Standard Class,124.75
CA-2014-158743,Consumer,Standard Class,199.17
CA-2014-159954,Consumer,Standard Class,2.78
CA-2014-161970,Consumer,Standard Class,30.9
CA-2014-162173,Consumer,Standard Class,608.43
CA-2014-165687,Consumer,Standard Class,35.04
CA-2014-165715,Consumer,Standard Class,32.776
CA-2014-167871,Consumer,Standard Class,47.328
CA-2014-169005,Consumer,Standard Class,5.56
US-2011-115196,Consumer,Standard Class,1299.99
US-2011-117170,Consumer,Standard Class,52.608
US-2011-147627,Consumer,Standard Class,1859.4
US-2011-150574,Consumer,Standard Class,252.612
US-2011-155544,Consumer,Standard Class,310.528
US-2011-156559,Consumer,Standard Class,638.82
US-2011-158057,Consumer,Standard Class,59.109
US-2011-165659,Consumer,Standard Class,904.13
US-2011-167633,Consumer,Standard Class,15.552
US-2012-108966,Consumer,Standard Class,979.9455
US-2012-120572,Consumer,Standard Class,12.828
US-2012-123960,Consumer,Standard Class,207.82
US-2012-129553,Consumer,Standard Class,29.97
US-2012-134026,Consumer,Standard Class,1001.76
US-2012-145436,Consumer,Standard Class,551.264
US-2012-164357,Consumer,Standard Class,13.12
US-2012-168732,Consumer,Standard Class,129.64
US-2012-168935,Consumer,Standard Class,459.4335
US-2013-121013,Consumer,Standard Class,1678.0
US-2013-132857,Consumer,Standard Class,6.672
US-2013-135923,Consumer,Standard Class,530.272
US-2013-137295,Consumer,Standard Class,187.228
US-2013-147991,Consumer,Standard Class,16.72
US-2013-164588,Consumer,Standard Class,12.84
US-2013-169369,Consumer,Standard Class,299.07
US-2014-102904,Consumer,Standard Class,239.92
US-2014-105935,Consumer,Standard Class,3002.65
US-2014-117450,Consumer,Standard Class,107.552
US-2014-126179,Consumer,Standard Class,311.96
US-2014-134642,Consumer,Standard Class,428.704
US-2014-135986,Consumer,Standard Class,536.36
US-2014-136189,Consumer,Standard Class,82.38
US-2014-146822,Consumer,Standard Class,49.12
US-2014-146878,Consumer,Standard Class,12.294
US-2014-149510,Consumer,Standard Class,98.446
US-2014-152842,Consumer,Standard Class,242.352
US-2014-152898,Consumer,Standard Class,67.9
US-2014-165953,Consumer,Standard Class,71.096
US-2014-166233,Consumer,Standard Class,24.0
US-2014-168690,Consumer,Standard Class,2.808
Grand Total,Consumer,Standard Class,116922.1345
CA-2011-100706,Consumer Total,Standard Class,129.44
CA-2011-100895,Consumer Total,Standard Class,605.47
CA-2011-101266,Consumer Total,Standard Class,13.36
CA-2011-103366,Consumer Total,Standard Class,149.95
CA-2011-104283,Consumer Total,Standard Class,616.14
CA-2011-107573,Consumer Total,Standard Class,23.472
CA-2011-109043,Consumer Total,Standard Class,243.6
CA-2011-109232,Consumer Total,Standard Class,545.94
CA-2011-110100,Consumer Total,Standard Class,302.376
CA-2011-110422,Consumer Total,Standard Class,25.248
CA-2011-113047,Consumer Total,Standard Class,11.85
CA-2011-113166,Consumer Total,Standard Class,9.568
CA-2011-114335,Consumer Total,Standard Class,337.088
CA-2011-115357,Consumer Total,Standard Class,62.91
CA-2011-116190,Consumer Total,Standard Class,256.48
CA-2011-116239,Consumer Total,Standard Class,354.9
CA-2011-116407,Consumer Total,Standard Class,362.176
CA-2011-116568,Consumer Total,Standard Class,186.304
CA-2011-117016,Consumer Total,Standard Class,15.552
CA-2011-120768,Consumer Total,Standard Class,1979.89
CA-2011-120950,Consumer Total,Standard Class,43.68
CA-2011-123400,Consumer Total,Standard Class,199.296
CA-2011-123925,Consumer Total,Standard Class,40.05
CA-2011-124023,Consumer Total,Standard Class,8.96
CA-2011-124618,Consumer Total,Standard Class,479.984
CA-2011-127299,Consumer Total,Standard Class,2692.329
CA-2011-127488,Consumer Total,Standard Class,4.608
CA-2011-127614,Consumer Total,Standard Class,1508.13
CA-2011-128839,Consumer Total,Standard Class,254.97
CA-2011-130155,Consumer Total,Standard Class,34.2
CA-2011-130428,Consumer Total,Standard Class,1142.165
CA-2011-130918,Consumer Total,Standard Class,7.632
CA-2011-131527,Consumer Total,Standard Class,95.968
CA-2011-131541,Consumer Total,Standard Class,193.152
CA-2011-132612,Consumer Total,Standard Class,1441.3
CA-2011-134551,Consumer Total,Standard Class,732.312
CA-2011-136861,Consumer Total,Standard Class,31.984
CA-2011-138296,Consumer Total,Standard Class,24.56
CA-2011-138709,Consumer Total,Standard Class,37.44
CA-2011-140886,Consumer Total,Standard Class,69.216
CA-2011-142727,Consumer Total,Standard Class,69.9
CA-2011-142951,Consumer Total,Standard Class,23.472
CA-2011-143182,Consumer Total,Standard Class,15.384
CA-2011-143840,Consumer Total,Standard Class,180.93
CA-2011-145576,Consumer Total,Standard Class,26.128
CA-2011-146731,Consumer Total,Standard Class,147.344
CA-2011-149958,Consumer Total,Standard Class,370.782
CA-2011-152254,Consumer Total,Standard Class,310.688
CA-2011-152268,Consumer Total,Standard Class,1793.98
CA-2011-153927,Consumer Total,Standard Class,286.65
CA-2011-154158,Consumer Total,Standard Class,619.848
CA-2011-155390,Consumer Total,Standard Class,42.208
CA-2011-155852,Consumer Total,Standard Class,19.456
CA-2011-156006,Consumer Total,Standard Class,47.79
CA-2011-156790,Consumer Total,Standard Class,155.456
CA-2011-157784,Consumer Total,Standard Class,514.03
CA-2011-158470,Consumer Total,Standard Class,129.33
CA-2011-159184,Consumer Total,Standard Class,149.56
CA-2011-159681,Consumer Total,Standard Class,105.52
CA-2011-160094,Consumer Total,Standard Class,1000.95
CA-2011-161634,Consumer Total,Standard Class,32.4
CA-2011-163013,Consumer Total,Standard Class,14.67
CA-2011-164315,Consumer Total,Standard Class,1220.67
CA-2011-164749,Consumer Total,Standard Class,9.912
CA-2011-165764,Consumer Total,Standard Class,1395.673
CA-2011-166051,Consumer Total,Standard Class,773.7
CA-2011-166457,Consumer Total,Standard Class,40.54
CA-2011-166730,Consumer Total,Standard Class,39.128
CA-2011-169257,Consumer Total,Standard Class,63.381
CA-2011-169775,Consumer Total,Standard Class,709.0425
CA-2012-100888,Consumer Total,Standard Class,47.952
CA-2012-101868,Consumer Total,Standard Class,175.32
CA-2012-102491,Consumer Total,Standard Class,3747.93
CA-2012-102582,Consumer Total,Standard Class,1918.79
CA-2012-102722,Consumer Total,Standard Class,106.5
CA-2012-102778,Consumer Total,Standard Class,18.176
CA-2012-103093,Consumer Total,Standard Class,74.52
CA-2012-104115,Consumer Total,Standard Class,55.984
CA-2012-107678,Consumer Total,Standard Class,893.09
CA-2012-108119,Consumer Total,Standard Class,301.96
CA-2012-109386,Consumer Total,Standard Class,750.93
CA-2012-110247,Consumer Total,Standard Class,8.226
CA-2012-110345,Consumer Total,Standard Class,4.608
CA-2012-111199,Consumer Total,Standard Class,115.296
CA-2012-111703,Consumer Total,Standard Class,27.504
CA-2012-112375,Consumer Total,Standard Class,78.192
CA-2012-114300,Consumer Total,Standard Class,371.66
CA-2012-114503,Consumer Total,Standard Class,84.96
CA-2012-115938,Consumer Total,Standard Class,535.36
CA-2012-116638,Consumer Total,Standard Class,4297.644
CA-2012-117828,Consumer Total,Standard Class,194.32
CA-2012-117884,Consumer Total,Standard Class,598.352
CA-2012-118444,Consumer Total,Standard Class,387.136
CA-2012-118843,Consumer Total,Standard Class,199.86
CA-2012-119480,Consumer Total,Standard Class,364.07
CA-2012-119634,Consumer Total,Standard Class,46.152
CA-2012-120516,Consumer Total,Standard Class,5.64
CA-2012-120621,Consumer Total,Standard Class,1270.379
CA-2012-122266,Consumer Total,Standard Class,194.1395
CA-2012-123092,Consumer Total,Standard Class,288.85
CA-2012-123330,Consumer Total,Standard Class,107.976
CA-2012-125563,Consumer Total,Standard Class,121.888
CA-2012-125976,Consumer Total,Standard Class,2026.78
CA-2012-128027,Consumer Total,Standard Class,269.49
CA-2012-128139,Consumer Total,Standard Class,365.91
CA-2012-129098,Consumer Total,Standard Class,30.84
CA-2012-130218,Consumer Total,Standard Class,59.48
CA-2012-132318,Consumer Total,Standard Class,182.91
CA-2012-133242,Consumer Total,Standard Class,1046.47
CA-2012-134257,Consumer Total,Standard Class,498.93
CA-2012-134719,Consumer Total,Standard Class,1801.632
CA-2012-134782,Consumer Total,Standard Class,105.42
CA-2012-134894,Consumer Total,Standard Class,436.86
CA-2012-136147,Consumer Total,Standard Class,233.064
CA-2012-136224,Consumer Total,Standard Class,10.272
CA-2012-137974,Consumer Total,Standard Class,2298.9
CA-2012-138457,Consumer Total,Standard Class,13.092
CA-2012-138625,Consumer Total,Standard Class,197.72
CA-2012-141145,Consumer Total,Standard Class,87.168
CA-2012-141327,Consumer Total,Standard Class,440.144
CA-2012-141565,Consumer Total,Standard Class,1664.132
CA-2012-142755,Consumer Total,Standard Class,919.49
CA-2012-143119,Consumer Total,Standard Class,517.5
CA-2012-143532,Consumer Total,Standard Class,14.496
CA-2012-144288,Consumer Total,Standard Class,19.584
CA-2012-145352,Consumer Total,Standard Class,6412.77
CA-2012-147879,Consumer Total,Standard Class,45.68
CA-2012-148705,Consumer Total,Standard Class,5.04
CA-2012-149300,Consumer Total,Standard Class,32.985
CA-2012-150560,Consumer Total,Standard Class,196.62
CA-2012-150749,Consumer Total,Standard Class,5.56
CA-2012-151547,Consumer Total,Standard Class,88.96
CA-2012-153325,Consumer Total,Standard Class,58.72
