standing_id,season_id,league_id,position,team_id,played_games,form,,won,draw,lost,points,goals_for,goals_against,goal_difference
3,1,1,3,64,38,"['L', 'D', 'W', 'D', 'W']",,24,10,4,82,86,41,45
4,1,1,4,58,38,"['W', 'D', 'L', 'D', 'L']",,20,8,10,68,76,61,15
6,1,1,6,61,38,"['W', 'W', 'W', 'W', 'W']",,18,9,11,63,77,63,14
8,1,1,8,66,38,"['D', 'L', 'L', 'W', 'W']",,18,6,14,60,57,58,-1
10,1,1,10,354,38,"['W', 'D', 'W', 'W', 'W']",,13,10,15,49,57,58,-1
11,1,1,11,397,38,"['L', 'W', 'D', 'L', 'L']",,12,12,14,48,55,62,-7
13,1,1,13,63,38,"['L', 'D', 'D', 'L', 'W']",,13,8,17,47,55,61,-6
15,1,1,15,62,38,"['W', 'W', 'D', 'W', 'L']",,13,9,16,40,40,51,-11
17,1,1,17,351,38,"['L', 'L', 'W', 'L', 'W']",,9,9,20,32,49,67,-18
19,1,1,19,328,38,"['W', 'D', 'L', 'L', 'L']",,5,9,24,24,41,78,-37
41,2,2,1,108,38,"['W', 'L', 'W', 'D', 'D']",,29,7,2,94,89,22,67
42,2,2,2,98,38,"['D', 'D', 'W', 'L', 'D']",,22,9,7,75,76,49,27
44,2,2,4,102,37,"['W', 'W', 'W', 'W', 'W']",,21,6,10,69,70,39,31
46,2,2,6,100,38,"['D', 'D', 'L', 'W', 'L']",,18,9,11,63,65,46,19
48,2,2,8,99,37,"['W', 'L', 'W', 'D', 'W']",,16,9,12,57,58,44,14
50,2,2,10,113,38,"['D', 'D', 'L', 'D', 'D']",,13,14,11,53,55,48,7
52,2,2,12,5911,38,"['D', 'D', 'L', 'L', 'L']",,11,12,15,45,39,51,-12
54,2,2,14,5890,38,"['D', 'D', 'L', 'L', 'D']",,8,14,16,38,32,54,-22
55,2,2,15,115,38,"['D', 'D', 'W', 'D', 'W']",,6,19,13,37,37,53,-16
57,2,2,17,445,38,"['L', 'D', 'L', 'D', 'W']",,9,9,20,36,29,54,-25
59,2,2,19,471,38,"['L', 'W', 'L', 'L', 'D']",,7,9,22,30,43,75,-32
61,3,3,1,86,38,"['W', 'W', 'W', 'D', 'D']",,29,8,1,95,87,26,61
63,3,3,3,298,38,"['W', 'D', 'L', 'W', 'W']",,25,6,7,81,85,46,39
65,3,3,5,77,38,"['W', 'D', 'L', 'W', 'W']",,19,11,8,68,61,37,24
67,3,3,7,90,38,"['W', 'W', 'D', 'L', 'D']",,14,15,9,57,48,45,3
68,3,3,8,94,38,"['L', 'W', 'W', 'D', 'D']",,14,11,13,53,65,65,0
70,3,3,10,263,38,"['W', 'D', 'L', 'W', 'D']",,12,10,16,46,36,46,-10
72,3,3,12,82,38,"['L', 'L', 'L', 'L', 'L']",,10,13,15,43,42,54,-12
74,3,3,14,559,38,"['W', 'L', 'L', 'L', 'L']",,10,11,17,41,48,54,-6
76,3,3,16,275,38,"['L', 'L', 'D', 'D', 'D']",,10,10,18,40,33,47,-14
78,3,3,18,264,38,"['L', 'W', 'W', 'D', 'L']",,6,15,17,33,26,55,-29
79,3,3,19,267,38,"['W', 'L', 'L', 'D', 'W']",,3,12,23,21,43,75,-32
5,1,1,5,73,38,"['L', 'L', 'W', 'L', 'W']",,20,6,12,66,74,61,13
7,1,1,7,67,38,"['W', 'W', 'D', 'L', 'W']",,18,6,14,60,85,62,23
9,1,1,9,563,38,"['L', 'D', 'L', 'W', 'L']",,14,10,14,52,60,74,-14
12,1,1,12,1044,38,"['W', 'W', 'L', 'L', 'L']",,13,9,16,48,54,67,-13
14,1,1,14,76,38,"['L', 'W', 'L', 'L', 'L']",,13,7,18,46,50,65,-15
16,1,1,16,402,38,"['W', 'L', 'D', 'W', 'L']",,10,9,19,39,56,65,-9
18,1,1,18,389,38,"['L', 'L', 'D', 'L', 'L']",,6,8,24,26,52,85,-33
20,1,1,20,356,38,"['L', 'L', 'L', 'L', 'L']",,3,7,28,16,35,104,-69
43,2,2,3,109,38,"['D', 'D', 'D', 'D', 'W']",,19,14,5,71,54,31,23
45,2,2,5,103,38,"['D', 'D', 'W', 'D', 'L']",,18,14,6,68,54,32,22
47,2,2,7,110,38,"['W', 'D', 'W', 'D', 'D']",,18,7,13,61,49,39,10
49,2,2,9,586,38,"['L', 'D', 'W', 'W', 'L']",,13,14,11,53,36,36,0
51,2,2,11,107,38,"['W', 'D', 'W', 'L', 'W']",,12,13,13,49,45,45,0
53,2,2,13,450,38,"['L', 'W', 'L', 'W', 'D']",,9,11,18,38,38,51,-13
56,2,2,16,104,38,"['L', 'D', 'L', 'W', 'L']",,8,12,18,36,42,68,-26
58,2,2,18,470,38,"['W', 'D', 'L', 'W', 'L']",,8,11,19,35,44,69,-25
60,2,2,20,455,38,"['L', 'L', 'D', 'L', 'D']",,2,11,25,17,32,81,-49
62,3,3,2,81,38,"['L', 'W', 'W', 'W', 'W']",,26,7,5,85,79,44,35
64,3,3,4,78,38,"['W', 'W', 'W', 'L', 'W']",,24,4,10,76,70,43,27
66,3,3,6,92,38,"['W', 'L', 'W', 'W', 'L']",,16,12,10,60,51,39,12
69,3,3,9,95,38,"['L', 'D', 'L', 'L', 'D']",,13,10,15,49,40,45,-5
71,3,3,11,79,38,"['L', 'D', 'D', 'W', 'D']",,12,9,17,45,45,56,-11
73,3,3,13,558,38,"['W', 'L', 'W', 'W', 'D']",,10,11,17,41,46,57,-11
75,3,3,15,89,38,"['L', 'W', 'D', 'D', 'W']",,8,16,14,40,33,44,-11
77,3,3,17,87,38,"['L', 'D', 'W', 'L', 'L']",,8,14,16,38,29,48,-19
80,3,3,20,83,38,"['L', 'L', 'L', 'L', 'L']",,4,9,25,21,38,79,-41
81,5,5,1,524,34,"['W', 'D', 'L', 'W', 'W']",,22,10,2,76,81,33,48
82,5,5,2,548,34,"['W', 'L', 'W', 'W', 'W']",,20,7,7,67,68,42,26
83,5,5,3,512,34,"['L', 'W', 'D', 'D', 'W']",,17,10,7,61,53,34,19
84,5,5,4,521,34,"['L', 'W', 'L', 'W', 'D']",,16,11,7,59,52,34,18
85,5,5,5,522,34,"['D', 'W', 'W', 'L', 'D']",,15,10,9,55,40,29,11
86,5,5,6,523,34,"['L', 'W', 'W', 'W', 'W']",,16,5,13,53,49,55,-6
87,5,5,7,546,34,"['W', 'D', 'L', 'L', 'W']",,14,9,11,51,45,37,8
88,5,5,8,516,34,"['D', 'W', 'W', 'L', 'W']",,13,11,10,50,52,41,11
89,5,5,9,547,34,"['L', 'L', 'D', 'W', 'W']",,13,8,13,47,42,47,-5
90,5,5,10,529,34,"['W', 'L', 'W', 'D', 'L']",,12,10,12,46,53,46,7
91,5,5,11,511,34,"['D', 'W', 'L', 'W', 'L']",,11,10,13,43,42,46,-4
92,5,5,12,518,34,"['W', 'D', 'W', 'L', 'D']",,10,12,12,41,43,48,-5
93,5,5,13,576,34,"['L', 'L', 'L', 'W', 'L']",,10,9,15,39,38,50,-12
94,5,5,14,543,34,"['L', 'D', 'D', 'L', 'L']",,9,6,19,33,30,55,-25
95,5,5,15,533,34,"['L', 'D', 'W', 'L', 'L']",,7,11,16,32,34,45,-11
96,5,5,16,545,34,"['W', 'L', 'L', 'L', 'L']",,8,5,21,29,35,58,-23
97,5,5,17,525,34,"['L', 'L', 'L', 'L', 'W']",,7,8,19,29,43,66,-23
98,5,5,18,541,34,"['L', 'W', 'L', 'L', 'L']",,5,10,19,25,26,60,-34
